
Time (s),Channel 1 (V),Channel 2 (V)
-0.002580138664495114,0.3676342656210306,-9.310779550655329
-0.002579508664495114,0.3672984872376674,-9.266867977967538
-0.002578878664495114,0.3672984872376672,-9.222956405279707
-0.002578248664495114,0.3676342656210306,-9.182704130315862
-0.002577618664495114,0.3676342656210306,-9.146111153076037
-0.002576988664495114,0.3683058223877574,-9.102199580388223
-0.002576358664495114,0.3679700440043942,-9.058288007700432
-0.002575728664495114,0.3713278278380279,-9.02169503046057
-0.002575098664495114,0.3636049250206701,-9.179044832591895
-0.002574468664495114,0.3642764817873966,-9.318098146103235
-0.002573838664495114,0.3639407034040335,-9.464470055062671
-0.002573208664495114,0.3629333682539428,-9.570589689058266
-0.002572578664495114,0.3619260331038532,-9.68402791850173
-0.002571948664495114,0.3609186979537631,-9.7608731707054
-0.002571318664495114,0.3599113628036727,-9.823081232013152
-0.002570688664495114,0.3595755844203096,-9.866992804700944
-0.002570058664495114,0.3595755844203096,-9.907245079664772
-0.002569428664495114,0.3599113628036727,-9.910904377388755
-0.002568798664495114,0.3595755844203096,-9.925541568284693
-0.002568168664495114,0.359911362803673,-9.892607888768822
-0.002567538664495114,0.3602471411870363,-9.866992804700944
-0.002566908664495114,0.3615902547204898,-9.801125445669227
-0.002566278664495114,0.3629333682539431,-9.742576682085462
-0.002565648664495114,0.36259758987058,-9.705983704845636
-0.002565018664495114,0.3639407034040335,-9.654753536709855
-0.002564388664495114,0.3639407034040335,-9.614501261746046
-0.002563758664495114,0.3639407034040335,-9.566930391334232
-0.002563128664495114,0.3656195953208504,-9.497403734578512
-0.002562498664495114,0.3656195953208504,-9.457151459614701
-0.002561868664495114,0.3656195953208504,-9.402261993754937
-0.002561238664495114,0.3669627088543039,-9.358350421067108
-0.002560608664495114,0.3669627088543039,-9.318098146103299
-0.002559978664495114,0.3669627088543039,-9.270527275691503
-0.002559348664495114,0.3669627088543039,-9.230275000727692
-0.002558718664495114,0.3669627088543039,-9.190022725763848
-0.002558088664495114,0.3669627088543039,-9.14977045080002
-0.002557458664495114,0.3666269304709405,-9.109518175836193
-0.002556828664495114,0.3672984872376672,-9.069265900872365
-0.002556198664495114,0.3706562710712982,-9.025354328184619
-0.002555568664495114,0.3642764817873969,-9.171726237143925
-0.002554938664495114,0.3639407034040335,-9.310779550655329
-0.002554308664495114,0.363269146637307,-9.460810757338619
-0.002553678664495114,0.3622618114872166,-9.566930391334232
-0.002553048664495114,0.3612544763371265,-9.67670932305376
-0.002552418664495114,0.3602471411870363,-9.749895277533447
-0.002551788664495114,0.3599113628036729,-9.815762636565164
-0.002551158664495114,0.3595755844203094,-9.859674209252995
-0.002550528664495114,0.3592398060369462,-9.903585781940787
-0.002549898664495114,0.3589040276535828,-9.907245079664772
-0.002549268664495114,0.3585682492702195,-9.91822297283672
-0.002548638664495114,0.3582324708868561,-9.896267186492819
-0.002548008664495114,0.3582324708868561,-9.866992804700944
-0.002547378664495114,0.3599113628036721,-9.80478474339324
-0.002546748664495114,0.3612544763371265,-9.742576682085478
-0.002546118664495114,0.3609186979537634,-9.713302300293581
-0.002545488664495114,0.3615902547204898,-9.662072132157823
-0.002544858664495114,0.3622618114872166,-9.614501261746028
-0.002544228664495114,0.3622618114872166,-9.581567582230182
-0.002543598664495114,0.3636049250206701,-9.508381627750483
-0.002542968664495114,0.3646122601707602,-9.460810757338686
-0.002542338664495114,0.3652838169374867,-9.420558482374878
-0.002541708664495114,0.365283816937487,-9.372987611963064
-0.002541078664495114,0.3652838169374872,-9.329076039275229
-0.002540448664495114,0.3656195953208504,-9.277845871139471
-0.002539818664495114,0.3656195953208504,-9.233934298451659
-0.002539188664495114,0.3656195953208504,-9.193682023487849
-0.002538558664495114,0.3656195953208504,-9.153429748524005
-0.002537928664495114,0.3659553737042137,-9.113177473560176
-0.002537298664495114,0.3666269304709402,-9.069265900872384
-0.002536668664495114,0.3686416007711208,-9.02169503046057
-0.002536038664495114,0.3642764817873963,-9.15342974852407
-0.002535408664495114,0.3629333682539433,-9.299801657483377
-0.002534778664495114,0.3615902547204898,-9.449832864166734
-0.002534148664495114,0.3602471411870363,-9.55961179588631
-0.002533518664495114,0.3602471411870363,-9.665731429881808
-0.002532888664495114,0.3592398060369462,-9.742576682085478
-0.002532258664495114,0.3592398060369462,-9.815762636565131
-0.002531628664495114,0.3585682492702194,-9.852355613805008
-0.002530998664495114,0.3578966925034927,-9.899926484216808
-0.002530368664495114,0.3578966925034927,-9.907245079664772
-0.002529738664495114,0.3575609141201292,-9.918222972836725
-0.002529108664495114,0.3575609141201296,-9.892607888768824
-0.002528478664495114,0.3582324708868561,-9.870652102424929
-0.002527848664495114,0.3592398060369462,-9.808444041117196
-0.002527218664495114,0.3609186979537623,-9.749895277533474
-0.002526588664495114,0.3599113628036729,-9.716961598017589
-0.002525958664495114,0.3609186979537631,-9.669390727605792
-0.002525328664495114,0.3615902547204898,-9.614501261746028
-0.002524698664495114,0.3615902547204898,-9.570589689058215
-0.002524068664495114,0.363269146637307,-9.497403734578512
-0.002523438664495114,0.3639407034040335,-9.457151459614701
-0.002522808664495114,0.3636049250206701,-9.41323988692689
-0.002522178664495114,0.3642764817873966,-9.365669016515115
-0.002521548664495114,0.3646122601707602,-9.325416741551267
-0.002520918664495114,0.3646122601707602,-9.277845871139471
-0.002520288664495114,0.3649480385541236,-9.237593596175644
-0.002519658664495114,0.3646122601707602,-9.193682023487831
-0.002519028664495114,0.3646122601707602,-9.149770450800002
-0.002518398664495114,0.3646122601707602,-9.109518175836193
-0.002517768664495114,0.365283816937487,-9.069265900872365
