Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.02562221552638364,17.7253570035082,21.58139834508209
10.58424294923851,-0.02326873814306793,17.98671301241725,19.68630765800475
11.2026198808505,-0.03409357118404252,18.21538716022216,17.89844514228548
11.85712504868911,-0.0371333540890137,18.4225830280644,16.26118090238622
12.54986921948269,-0.03470252388935371,18.59978818199285,14.66817309271018
13.28308648001751,-0.04578438284708292,18.77786261406113,12.92437868218008
14.05914144202507,-0.0157236156672034,18.89774763696854,11.21111480402433
14.88053686801006,-0.03047185760333758,19.0610298772252,9.114753368257318
15.74992174261191,-0.03339949965137755,19.19366546161409,6.741933568975668
16.67009981552986,-0.01080315466268273,19.16674475107172,3.510713161679135
17.64403864356239,-0.01985228163754592,19.11357548659664,1.79667818410924
18.6748791609217,-0.02112709002834584,19.11862191564446,1.056023297211169
19.76594580868665,-0.03073720346781856,19.13818493859964,0.5572420978162826
20.92075725606221,-0.02247906858859636,19.15270804072178,0.3071343284415775
22.14303774802068,-0.01812409597307272,19.16579223031023,-0.02924382234920131
23.436729115921,-0.01969901701234627,19.18098606252899,-0.2011699869340191
24.80600348983997,-0.02899610749828984,19.20611124697826,-0.4488006944854135
26.25527675361243,-0.04391360402252746,19.23480051806156,-0.3995727665806754
27.78922278597281,-0.03738731616637,19.23838908965667,-0.618442998817045
29.41278853372508,-0.02399114943737906,19.23229696580703,-0.6530178985564135
31.13120996555226,-0.0329620495883831,19.24239653650945,-0.8607242781861544
32.95002895791605,-0.02511733503461379,19.23609389460765,-0.850421357100501
34.87511116750276,-0.03193268902569982,19.244495195082,-0.9585790755128301
36.91266494785499,-0.02187556421749098,19.23192394194147,-1.005929761762928
39.06926137119375,-0.01996557806788353,19.22758520620231,-1.002946590462756
41.35185542000135,-0.01769266187862338,19.22704113874566,-1.173953987771569
43.76780841670799,-0.02825871548052979,19.23545669506084,-1.195209630800168
46.3249117638163,-0.0362982074999942,19.2414703994481,-1.233399621621345
49.03141207102686,-0.02203348248514853,19.22737980745382,-1.358391612096824
51.8960377503974,-0.01561176942920053,19.22059049001256,-1.399507438581281
54.92802716530586,-0.01687920942269825,19.22223028735931,-1.560864066629577
58.13715842399698,-0.0140447936111333,19.21673300888817,-1.567664613546526
61.53378091379528,-0.02326315569944969,19.22687320880005,-1.700123644523629
65.12884867768241,-0.0175686965717469,19.22228399799439,-1.807854607349086
68.93395574087819,-0.01004448327334377,19.21225589734183,-1.897013780665972
72.96137350135093,-0.01645148115192257,19.21865290336756,-1.915929826372796
77.22409030484302,-0.02036619527823023,19.21974595162916,-2.150558198591717
81.73585333203927,-0.03816865678818113,19.23588002480912,-2.342455348516154
86.51121293296302,-0.03815710982696258,19.23368618515335,-2.372172347528618
91.56556955157842,-0.02435523868528182,19.22075269981719,-2.540662379937856
96.91522339193011,-0.03834239763425471,19.23308969592254,-2.656953926613667
102.5774269859912,-0.01784636847362425,19.21410576086924,-2.835259024591778
108.5704408327505,-0.0173709482510325,19.209481316639,-2.94340885899706
114.9135922879754,-0.008796945047905149,19.19795999460166,-3.143724283179949
121.6273378945674,-0.02423324054847733,19.2124731827175,-3.410770324377864
128.7333293545225,-0.0141789640012124,19.20081469010395,-3.483036760740021
136.2544833552602,-0.02305016167383526,19.20597563259342,-3.761146912134617
144.2150554755048,-0.02862865662653532,19.21432799924015,-3.934026079696608
152.6407184090652,-0.01299237482916202,19.19499057096233,-4.170679080390052
161.5586447587848,-0.02174709055163166,19.20230421155356,-4.531182638597812
170.9975946676697,-0.00639347492346446,19.18407862171208,-4.720970888345354
180.9880085698029,-0.02909782144832406,19.19878749169139,-4.955381491838637
191.5621053601653,-0.01554193633949295,19.18562646781032,-5.194079837186131
202.7539862999612,-0.03780873125231585,19.20727093401609,-5.719929774668643
214.5997449925365,-0.02086214802762715,19.1816400975543,-5.855753510993225
227.1375837845639,-0.03182669437715761,19.18815114308835,-6.233882842509047
240.4079369678839,-0.01478581116742853,19.16936218577507,-6.665251401861106
254.4536011793301,-0.009188427088951318,19.15850897845366,-6.900431808565685
269.3198734190672,-0.024969475185541,19.16555252012416,-7.560720169664364
285.0546971325567,-0.02249587666290065,19.15431737221907,-7.825721415910312
301.7088168272581,-0.0145746147746508,19.13892080358496,-8.227696056590005
319.3359417227003,-0.01361336715011546,19.12773684822537,-8.79019064347753
337.9929189616926,-0.009622660587061987,19.11554502573018,-9.239457503822365
357.7399169412834,-0.0292609307000563,19.12497012425382,-9.7331385862704
378.6406193546952,-0.02895356709680499,19.11838069078564,-10.20254035291919
400.7624305700231,-0.01911328312597899,19.08774091887368,-10.86743775819581
424.1766930080449,-0.02658590213858442,19.08505916464053,-11.49609308129463
448.9589172201711,-0.0371933797013283,19.07523767776356,-12.09928040979344
475.1890254085353,-0.0217660679214151,19.04349209571983,-12.84118541931813
502.9516091735803,-0.01988793487259125,19.02538429699924,-13.65858246433967
532.3362023203628,-0.02406991077580883,18.99717085257996,-14.34034755158078
563.4375696033708,-0.007566420641315222,18.9602521307779,-15.10971751773009
596.3560123410552,-0.008264879265535255,18.93357304886955,-15.92383999121819
631.1976918856806,-0.02173061474479897,18.90928227065228,-16.89498824936362
668.0749719916639,-0.01196168884952546,18.869605124675,-17.90832508383956
707.1067811865476,-0.02361427709986642,18.8453899503787,-18.90350833631436
748.4189963132453,-0.005649749324507108,18.78055796223767,-19.91159120797723
792.1448484804624,-0.009558513205630141,18.74531628661862,-21.05343053612765
838.4253527304941,-0.02208081511397364,18.70810038862559,-22.12528096541662
887.4097628100533,0.01551026109781812,18.6167270103773,-23.40259083937968
939.2560525107727,0.003566368786279662,18.55874726245554,-24.60164517093783
994.1314251316742,0.004025597310597468,18.49682844913757,-25.89051272829563
1052.212852706634,-0.05091134828034501,18.46054411253407,-27.4069770719168
1113.687646735833,-0.01110586825616961,18.35287326261863,-28.67356681443812
1178.754062261777,-0.01928558490025735,18.26823781056704,-29.9707315239214
1247.621937238045,-0.002116144013250778,18.15627646368945,-31.60840422350317
1320.513369252708,-0.006788266882012018,18.05250311276175,-33.30568713030166
1397.663431788814,-0.005065593842834334,17.93408998493105,-35.12535160507494
1479.320932331926,-0.001517283346278399,17.81323688175988,-36.40075175835894
1565.749214769513,0.0191383409926157,17.64001536810427,-38.49938364250102
1657.227008669993,0.007179208839956167,17.51539713728792,-40.17579220451388
1754.049328180301,-0.005567163900101573,17.36134744821235,-42.00483007489149
1856.528423440887,0.05000536769772516,17.14499971417638,-43.94750325274286
1964.994787586509,0.003979776152324925,17.01406222322446,-45.74762112160175
2079.798222580294,0.008715200951700811,16.80307972584364,-47.79068692004927
2201.308967318424,0.0460610184348661,16.55712538906959,-49.83788821924509
2329.918891643553,0.0238032096410697,16.37646578956254,-51.82417503392487
2466.042760117587,0.04119575234413063,16.1196217387006,-53.82931405445792
2610.119569629524,0.07435470212447579,15.84597080243611,-55.9877421824326
2762.613965152073,0.04487207709430913,15.60253757813009,-57.98070666121873
2924.017738212866,0.04884427565852869,15.33490576731902,-60.14151496528491
3094.851412912785,0.05273680823334791,15.02971543314432,-62.22125915868881
3275.665924606298,0.08953765996243268,14.72547337766698,-64.52163747624869
3467.044396657504,0.09679840260461936,14.38233692018162,-66.56144654792507
